impactPosX,impactPosY,impactVelX,impactVelY,impactAngularVel,spinDirection,spinMagnitude,distanceToStumps,willHitStumps
5.475148,-2.414483,20.791920,-8.535707,-767.335700,1,10.000000,2.591854,1
5.533378,-2.625350,14.574190,5.325159,228.378100,0,10.000000,2.494912,1
5.717614,-2.382149,19.778840,6.254948,-1388.137000,1,10.000000,2.364535,0
5.509373,-2.683485,15.344890,5.363366,229.339200,0,10.000000,2.510658,1
6.211908,-2.066027,15.903580,4.555548,201.017000,0,10.000000,2.017320,0
6.032686,-3.122082,19.165730,-9.299189,-764.273900,1,10.000000,1.971098,1
6.037527,-3.166039,18.625040,-9.286888,-763.510300,1,10.000000,1.969485,1
6.092450,-3.206229,16.034940,5.872085,250.416200,0,10.000000,1.918665,1
6.045689,-3.044699,20.383900,-9.360945,-765.803200,1,10.000000,1.954822,1
5.993725,-2.759553,18.375430,5.879457,-1322.737000,1,10.000000,2.020632,1
6.167367,-2.249200,17.145120,5.036907,-1329.208000,1,10.000000,1.980466,0
