impactPosX,impactPosY,impactVelX,impactVelY,impactAngularVel,spinDirection,spinMagnitude,distanceToStumps,willHitStumps
6.280395,-2.070163,18.322370,5.257048,-1364.847000,1,10.000000,1.954901,0
6.145049,-3.037158,15.296830,5.713424,246.255000,0,10.000000,1.855323,1
6.059212,-2.872195,20.289080,6.279097,-1342.655000,1,10.000000,1.944991,1
5.679904,-3.016809,17.359160,6.013637,-1300.715000,1,10.000000,2.320156,1
5.832652,-2.999218,19.272210,6.270976,-1325.309000,1,10.000000,2.167349,1
5.658636,-2.609188,16.419580,5.311639,219.308900,0,10.000000,2.373757,1
5.825980,-2.236406,18.744320,5.722121,-1373.644000,1,10.000000,2.304222,0
5.870859,-2.743420,16.239890,5.340913,231.979400,0,10.000000,2.144546,1
5.673392,-2.926763,21.122330,-9.389509,-767.335700,1,10.000000,2.327760,1
5.737435,-2.124225,14.923730,4.410677,212.313500,0,10.000000,2.426145,0
5.941157,-2.888717,17.973840,-8.834498,-762.747500,1,10.000000,2.061848,1
5.710003,-2.246856,16.514800,5.285060,189.859300,0,10.000000,2.410666,0
5.685745,-3.151152,18.435700,6.258900,-1307.598000,1,10.000000,2.319186,1
5.798769,-2.832767,17.056370,5.623625,-1299.771000,1,10.000000,2.207574,1
5.791285,-2.025171,16.210590,4.778078,184.019400,0,10.000000,2.414273,0
5.957418,-1.970628,16.873340,5.176604,182.686200,0,10.000000,2.287302,0
5.914699,-3.103304,17.172870,6.138138,230.337900,0,10.000000,2.087859,1
5.888237,-2.939121,19.373740,6.071498,-1324.476000,1,10.000000,2.112640,1
5.733821,-2.222894,19.829530,6.020993,-1400.120000,1,10.000000,2.395717,0
5.906540,-2.092794,14.741690,4.608317,206.868300,0,10.000000,2.281578,0
5.851249,-2.391934,16.692990,5.342743,200.860100,0,10.000000,2.233131,1
5.914574,-2.518129,17.244630,5.512080,203.307600,0,10.000000,2.140374,1
5.752640,-3.159987,19.322190,-9.442214,-765.038200,1,10.000000,2.253048,1
5.729695,-3.199350,16.318220,-9.111392,760.463700,0,10.000000,2.279041,1
5.914482,-2.819885,15.439570,5.425938,239.246200,0,10.000000,2.093281,1
5.767089,-2.929219,14.831940,5.543215,244.587000,0,10.000000,2.234033,1
5.835629,-3.007300,17.078340,5.965732,228.872000,0,10.000000,2.164383,1
5.783000,-2.292235,16.613450,5.223738,194.977700,0,10.000000,2.327234,0
5.824976,-2.707254,19.925380,6.263173,-1357.187000,1,10.000000,2.194637,1
5.913488,-2.245149,15.506670,4.809146,211.472500,0,10.000000,2.218858,0
5.707370,-2.309612,16.982480,5.289117,-1335.212000,1,10.000000,2.394324,0
5.905505,-2.985533,14.622700,5.445398,252.034100,0,10.000000,2.094545,1
5.875247,-2.483238,20.766540,-8.561128,-766.569100,1,10.000000,2.186691,1
6.256470,-3.231474,20.561820,6.608146,-1322.548000,1,10.000000,1.758828,1
5.967362,-2.397418,16.406480,5.003892,212.565900,0,10.000000,2.120075,1
6.137682,-2.183017,14.642320,4.455948,222.823400,0,10.000000,2.033639,0
5.949281,-2.904810,20.885940,-9.241084,-766.569100,1,10.000000,2.052927,1
6.219187,-2.699023,18.172500,5.607348,-1315.060000,1,10.000000,1.806068,1
6.103164,-3.010147,20.473700,-9.306958,-765.803200,1,10.000000,1.896863,1
6.297873,-3.113575,19.555710,-9.286678,-764.273900,1,10.000000,1.705912,1
6.169600,-2.671428,17.096610,5.498591,220.213000,0,10.000000,1.859656,1
6.060503,-3.014062,19.628230,6.247784,-1323.362000,1,10.000000,1.939548,1
6.013478,-2.137821,15.249790,4.631214,209.739600,0,10.000000,2.165554,0
5.959869,-2.221427,16.864720,5.074439,191.633500,0,10.000000,2.183646,0
6.043181,-2.189234,16.518600,5.030760,194.514100,0,10.000000,2.118131,0
6.213394,-3.152400,18.351940,-9.200726,762.747500,0,10.000000,1.793095,1
5.336344,-2.430985,17.448680,5.562842,-1343.788000,1,10.000000,2.723755,0
5.460884,-2.217307,19.389300,6.030006,-1400.873000,1,10.000000,2.657013,0
5.369793,-1.929475,15.243350,4.811202,180.502500,0,10.000000,2.839720,0
5.324808,-3.303897,15.373360,-9.202480,759.704000,0,10.000000,2.692398,1
5.443905,-3.181160,17.777010,-9.308490,763.510300,0,10.000000,2.562507,1
5.420307,-2.843602,14.800650,5.393923,241.929100,0,10.000000,2.584430,1
5.409140,-2.711006,20.681910,-9.029913,-767.335700,1,10.000000,2.606928,1
5.475238,-2.272647,18.212890,5.667209,-1369.061000,1,10.000000,2.627445,0
5.477398,-2.812793,17.098930,5.722304,218.217100,0,10.000000,2.529539,1
5.240899,-2.275000,15.462970,4.917911,203.923700,0,10.000000,2.852764,0
5.268221,-2.850723,17.833010,6.115685,-1327.417000,1,10.000000,2.735854,1
5.309536,-2.347235,16.911850,5.332952,187.386900,0,10.000000,2.768519,0
5.517001,-1.838804,14.677660,4.308671,189.288200,0,10.000000,2.741106,0
5.373268,-2.096463,16.083820,5.007073,181.471500,0,10.000000,2.777787,0
5.172481,-2.437387,21.736580,-8.786895,-768.871200,1,10.000000,2.882950,1
5.538732,-2.702341,19.591780,-8.826011,-765.803200,1,10.000000,2.479202,1
5.443032,-2.913266,17.035500,5.865501,222.117800,0,10.000000,2.558439,1
5.349253,-2.406530,19.184710,6.215625,-1384.848000,1,10.000000,2.716370,0
5.716084,-2.878233,17.425580,5.915550,-1309.101000,1,10.000000,2.287159,1
5.886710,-3.000527,18.409590,-9.050441,-763.510300,1,10.000000,2.113290,1
5.979949,-3.203130,18.295540,6.434194,-1294.468000,1,10.000000,2.030238,1
6.069937,-1.934714,16.588310,4.675601,-1345.644000,1,10.000000,2.204535,0
5.895818,-2.723431,17.696680,5.849964,-1319.501000,1,10.000000,2.122280,1
5.736629,-3.283000,15.561330,6.088963,248.166500,0,10.000000,2.280995,1
6.005601,-1.914127,17.929820,5.479957,-1383.415000,1,10.000000,2.270847,0
5.847673,-2.759074,14.569390,5.421581,238.094100,0,10.000000,2.165769,1
5.785631,-2.559908,19.977560,-8.603459,-765.803200,1,10.000000,2.257679,1
6.020258,-3.033972,18.083700,-9.036242,762.747500,0,10.000000,1.980033,1
5.875517,-2.132396,18.831150,5.644270,-1382.904000,1,10.000000,2.294812,0
5.781519,-2.158920,14.602050,4.302815,220.531000,0,10.000000,2.372567,0
6.024247,-3.190666,17.835740,6.070429,-1290.229000,1,10.000000,1.984931,1
5.761461,-2.517230,16.558530,5.435907,208.916100,0,10.000000,2.290005,1
5.788388,-2.688849,16.581360,5.475222,221.496800,0,10.000000,2.233392,1
5.831165,-2.762553,14.953340,5.171226,243.905600,0,10.000000,2.181794,1
5.971525,-2.713292,18.530760,-8.640105,763.510300,0,10.000000,2.048637,1
5.702798,-2.050649,18.569450,5.768129,-1393.232000,1,10.000000,2.485639,0
5.621953,-2.049624,16.887680,5.173609,-1357.134000,1,10.000000,2.560921,0
5.535215,-3.243577,18.992760,-9.568867,-765.038200,1,10.000000,2.476791,1
5.663350,-3.204710,18.976830,6.567005,-1318.321000,1,10.000000,2.345600,1
5.630762,-2.731989,15.501140,5.301270,234.537600,0,10.000000,2.384349,1
5.662957,-3.193190,17.844730,6.127250,-1295.768000,1,10.000000,2.345014,1
5.681909,-2.208623,18.526030,5.764216,-1377.157000,1,10.000000,2.449454,0
5.669871,-2.887492,20.331050,6.367748,-1350.858000,1,10.000000,2.332843,1
5.557545,-2.269224,18.326670,5.905707,-1374.826000,1,10.000000,2.549435,0
5.600952,-3.100563,14.592030,5.942073,243.015000,0,10.000000,2.401155,1
